service_id,category,job_name,pricing_unit,fixed_worker_payout_inr,minimum_quantity,payout_scope,notes
SVC-001,Cleaning,Basic Room Cleaning,per_room,300,1,Per Room,Base payout; quantity multiplies
SVC-002,Cleaning,Deep Room Cleaning,per_room,550,1,Per Room,Extra effort; materials separate
SVC-003,Cleaning,Kitchen Cleaning,per_kitchen,400,1,Per Kitchen,Per kitchen
SVC-004,Cleaning,Bathroom Cleaning,per_bathroom,300,1,Per Bathroom,Per bathroom
SVC-005,Cleaning,Sofa Cleaning,per_seat,100,2,Per Seat,Minimum 2 seats
SVC-006,Cleaning,Mattress Cleaning,per_mattress,300,1,Per Mattress,Per mattress
SVC-007,Cleaning,Carpet Cleaning,per_100_sqft,300,1,Per 100 Sq Ft,Per 100 sq ft
SVC-008,Cleaning,Balcony Cleaning,per_balcony,200,1,Per Balcony,Per balcony
SVC-009,Cleaning,Move-in/Move-out Cleaning,per_room,650,1,Per Room,Per room
SVC-010,Cleaning,Home Sanitization,per_500_sqft,450,1,Per 500 Sq Ft,Per 500 sq ft
SVC-011,Plumbing,Tap/Minor Leak Repair,per_job,250,1,Per Job,Basic labour only
SVC-012,Plumbing,Drain/Sink Unclogging,per_job,300,1,Per Job,Basic labour only
SVC-013,Plumbing,Toilet Repair,per_job,450,1,Per Job,Parts separate
SVC-014,Plumbing,Flush Repair,per_job,350,1,Per Job,Parts separate
SVC-015,Plumbing,Pipe Leak Repair,per_job,500,1,Per Job,Parts separate
SVC-016,Plumbing,Pipe Replacement,per_job,700,1,Per Job,Parts separate
SVC-017,Plumbing,Water Tank/Pump Repair,per_job,750,1,Per Job,Parts separate
SVC-018,Plumbing,Washing Machine Water-Line Setup/Repair,per_job,400,1,Per Job,Parts separate
SVC-019,Plumbing,Bathroom Fitting Installation,per_item,450,1,Per Item,Per fitting
SVC-020,Plumbing,Emergency Plumbing Visit,per_visit,450,1,Per Visit,Emergency premium
SVC-021,Electrical,Switch/Socket Repair,per_point,150,1,Per Point,Per point
SVC-022,Electrical,Fan Installation,per_fan,300,1,Per Fan,Per fan
SVC-023,Electrical,Light Installation,per_light,150,1,Per Light,Per light
SVC-024,Electrical,Fan Capacitor/Regulator Repair,per_fan,250,1,Per Fan,Part separate
SVC-025,Electrical,Wiring/Circuit Repair,per_job,650,1,Per Job,Material separate
SVC-026,Electrical,MCB/DB Repair,per_job,650,1,Per Job,Material separate
SVC-027,Electrical,Washing Machine Electrical Repair,per_job,650,1,Per Job,Diagnosis/repair labour
SVC-028,Electrical,Cooler Electrical Repair,per_job,500,1,Per Job,Diagnosis/repair labour
SVC-029,Electrical,Refrigerator Electrical Repair,per_job,800,1,Per Job,Diagnosis/repair labour
SVC-030,Electrical,Geyser Electrical Repair,per_job,650,1,Per Job,Diagnosis/repair labour
SVC-031,Electrical,Appliance Electrical Diagnosis,per_appliance,250,1,Per Appliance,Labour/diagnosis
SVC-032,Electrical,Emergency Electrical Visit,per_visit,450,1,Per Visit,Emergency premium
SVC-033,Appliance Repair,Washing Machine Repair,per_job,700,1,Per Job,Parts separate
SVC-034,Appliance Repair,Cooler Repair,per_job,600,1,Per Job,Parts separate
SVC-035,Appliance Repair,AC Basic Service,per_unit,650,1,Per Unit,Basic labour/service
SVC-036,Appliance Repair,AC Repair,per_job,900,1,Per Job,Parts/gas separate
SVC-037,Appliance Repair,Refrigerator Repair,per_job,850,1,Per Job,Parts/gas separate
SVC-038,Appliance Repair,Microwave Repair,per_job,600,1,Per Job,Parts separate
SVC-039,Appliance Repair,Geyser Repair,per_job,600,1,Per Job,Parts separate
SVC-040,Appliance Repair,RO Service,per_unit,350,1,Per Unit,Filter/parts separate
SVC-041,Appliance Repair,RO Repair,per_job,600,1,Per Job,Parts separate
SVC-042,Appliance Repair,Water Purifier Repair,per_job,500,1,Per Job,Parts separate
SVC-043,Carpentry,Furniture Assembly,per_item,500,1,Per Item,Per item
SVC-044,Carpentry,Door/Lock Adjustment,per_door,300,1,Per Door,Minor adjustment
