ds,region,skill_category,y
2025-08-01,Kolkata,electrician,19
2025-08-02,Kolkata,electrician,12
2025-08-03,Kolkata,electrician,11
2025-08-04,Kolkata,electrician,21
2025-08-05,Kolkata,electrician,18
2025-08-06,Kolkata,electrician,19
2025-08-07,Kolkata,electrician,23
2025-08-08,Kolkata,electrician,20
2025-08-09,Kolkata,electrician,12
2025-08-10,Kolkata,electrician,11
2025-08-11,Kolkata,electrician,17
2025-08-12,Kolkata,electrician,18
2025-08-13,Kolkata,electrician,20
2025-08-14,Kolkata,electrician,15
2025-08-15,Kolkata,electrician,14
2025-08-16,Kolkata,electrician,12
2025-08-17,Kolkata,electrician,9
2025-08-18,Kolkata,electrician,19
2025-08-19,Kolkata,electrician,17
2025-08-20,Kolkata,electrician,17
2025-08-21,Kolkata,electrician,22
2025-08-22,Kolkata,electrician,18
2025-08-23,Kolkata,electrician,13
2025-08-24,Kolkata,electrician,8
2025-08-25,Kolkata,electrician,17
2025-08-26,Kolkata,electrician,19
2025-08-27,Kolkata,electrician,17
2025-08-28,Kolkata,electrician,20
2025-08-29,Kolkata,electrician,17
2025-08-30,Kolkata,electrician,12
2025-08-31,Kolkata,electrician,9
2025-09-01,Kolkata,electrician,19
2025-09-02,Kolkata,electrician,16
2025-09-03,Kolkata,electrician,15
2025-09-04,Kolkata,electrician,18
2025-09-05,Kolkata,electrician,13
2025-09-06,Kolkata,electrician,11
2025-09-07,Kolkata,electrician,6
2025-09-08,Kolkata,electrician,13
2025-09-09,Kolkata,electrician,16
2025-09-10,Kolkata,electrician,18
2025-09-11,Kolkata,electrician,16
2025-09-12,Kolkata,electrician,15
2025-09-13,Kolkata,electrician,10
2025-09-14,Kolkata,electrician,7
2025-09-15,Kolkata,electrician,14
2025-09-16,Kolkata,electrician,15
2025-09-17,Kolkata,electrician,19
2025-09-18,Kolkata,electrician,17
2025-09-19,Kolkata,electrician,12
2025-09-20,Kolkata,electrician,11
2025-09-21,Kolkata,electrician,8
2025-09-22,Kolkata,electrician,14
2025-09-23,Kolkata,electrician,17
2025-09-24,Kolkata,electrician,19
2025-09-25,Kolkata,electrician,18
2025-09-26,Kolkata,electrician,14
2025-09-27,Kolkata,electrician,10
2025-09-28,Kolkata,electrician,9
2025-09-29,Kolkata,electrician,17
2025-09-30,Kolkata,electrician,15
2025-10-01,Kolkata,electrician,22
2025-10-02,Kolkata,electrician,19
2025-10-03,Kolkata,electrician,18
2025-10-04,Kolkata,electrician,16
2025-10-05,Kolkata,electrician,13
2025-10-06,Kolkata,electrician,21
2025-10-07,Kolkata,electrician,24
2025-10-08,Kolkata,electrician,24
2025-10-09,Kolkata,electrician,20
2025-10-10,Kolkata,electrician,22
2025-10-11,Kolkata,electrician,17
2025-10-12,Kolkata,electrician,11
2025-10-13,Kolkata,electrician,25
2025-10-14,Kolkata,electrician,15
